z model [mm]	u [m/s]	Iu (%)	u/uref
37	2.731902	22.033831	0.825366239
42	2.846592	21.507663	0.86001655
47	2.9124	21.204945	0.87989856
52	2.919821	21.219751	0.882140603
57	2.977685	21.583582	0.89962256
62	3.018937	21.174464	0.912085674
67	3.052298	20.835245	0.922164749
72	3.157995	20.301861	0.954098081
77	3.146894	20.64043	0.950744231
82	3.134718	19.665914	0.9470656
92	3.237059	19.86622	0.977985013
102	3.309927	19.144123	1
112	3.388611	18.733855	1.023772125
122	3.530555	16.820011	1.066656455
132	3.449828	18.550189	1.042267095
142	3.603852	17.265919	1.088801052
152	3.610914	17.640611	1.090934634
172	3.684959	16.917454	1.113305218
192	3.730265	17.390691	1.126993133
212	3.884466	16.115053	1.173580565
232	3.936609	15.770703	1.189334085
252	3.979068	15.765202	1.20216186
272	4.059389	14.789659	1.226428559
292	4.113781	14.860658	1.24286155
312	4.1063	14.426545	1.240601379
332	4.250597	14.272549	1.2841966
352	4.221111	14.4704	1.275288247
372	4.291578	14.089217	1.29657784
392	4.342524	14.055458	1.31196972
412	4.441552	13.803881	1.341888205
432	4.405212	13.958789	1.330909111
502	4.477661	13.603375	1.352797509
552	4.652973	12.431698	1.405763027
602	4.767695	12.539988	1.440423006
652	4.853394	11.45762	1.466314514
700	4.965742	11.217628	1.500257256
