zmodel (mm)	u (m/s)	Iu(%)	u/uref
30	4.114	9.69	0.880942184
40	4.262	8.77	0.912633833
50	4.367	8.2	0.935117773
60	4.444	7.673	0.951605996
70	4.541	7.155	0.972376874
80	4.582	6.903	0.981156317
90	4.634	6.616	0.992291221
100	4.67	6.461	1
120	4.748	5.979	1.016702355
140	4.809	5.498	1.029764454
160	4.849	5.404	1.038329764
180	4.905	5.107	1.050321199
200	4.936	4.941	1.056959315
250	5.022	4.34	1.075374732
300	5.069	3.691	1.085438972
350	5.091	2.869	1.090149893
400	5.103	2.337	1.092719486
450	5.098	2.043	1.091648822
500	5.059	2.05	1.083297645
550	5.019	2.011	1.074732334
